year,month,count
2021,9,183
2021,8,178
2021,7,257
2021,6,207
2021,5,132
2021,4,188
2021,3,112
2021,2,109
2021,1,132
2020,12,169
2020,11,154
2020,10,167
2020,9,168
2020,8,129
2020,7,146
2020,6,156
2020,5,157
2020,4,177
2020,3,137
2020,2,114
2020,1,205
2019,12,215
2019,11,255
2019,10,193
2019,9,123
2019,8,131
2019,7,157
2019,6,168
2019,5,139
2019,4,162
2019,3,172
2019,2,148
2019,1,153
2018,12,185
2018,11,154
2018,10,191
2018,9,124
2018,8,164
2018,7,152
2018,6,78
2018,5,97
2018,4,115
2018,3,173
2018,2,87
2018,1,129
2017,12,118
2017,11,85
2017,10,126
2017,9,113
2017,8,115
2017,7,79
2017,6,94
2017,5,86
2017,4,93
2017,3,124
2017,2,82
2017,1,72
2016,12,96
2016,11,44
2016,10,51
2016,9,48
2016,8,34
2016,7,28
2016,6,18
2016,5,13
2016,4,22
2016,3,17
2016,2,15
2016,1,43
2015,12,21
2015,11,4
2015,10,14
2015,9,7
2015,8,2
2015,7,7
2015,6,6
2015,5,6
2015,4,5
2015,3,5
2015,2,4
2015,1,1
2014,12,6
2014,11,4
2014,10,4
2014,9,1
2014,8,1
2014,7,1
2014,6,1
2014,4,2
2014,2,2
2014,1,2
2013,12,2
2013,11,2
2013,10,3
2013,9,2
2013,8,1
2013,3,1
2012,12,1
2012,11,1
2012,2,1
2011,10,11
2011,9,1
2011,5,1
2010,11,1
2009,11,1
2009,5,1
2008,2,1
2008,1,1
